OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k,Nat_5c_corridors,Nat_5c_corridors_truncated_at_200k
301,1,5,557725,556543,430728,479809,482061,535006,,,,,,,468843,
302,1,1,118572,110995,167,5193,74978,204224,118572,110995,167,5193,,74978,75914,75914
303,1,1,167766,108448,65565,108521,121860,176020,167766,108448,65565,108521,176020,121860,108448,108448
304,1,3,281069,125447,66594,117598,275820,358464,,125447,66594,117598,,,125447,125447
305,1,7,252820,252820,28778,109631,227929,322889,,,28778,109631,,,49266,49266
306,1,4,222028,101436,96941,151615,164881,217433,,101436,96941,151615,,164881,101436,101436
307,1,1,318042,318042,47627,139601,300087,410955,,,47627,139601,,,111719,111719
308,1,8,288221,289166,148422,211681,199906,259495,,,148422,,,199906,184507,184507
309,1,1,82130,82130,6181,38948,14494,77095,82130,82130,6181,38948,77095,14494,2002,2002
310,1,1,296607,296607,45596,129234,277963,378323,,,45596,129234,,,91648,91648
311,1,6,7726,7726,5468,10347,5635,7405,7726,7726,5468,10347,7405,5635,7726,7726
312,1,1,241181,241181,58235,127040,185286,270123,,,58235,127040,,185286,72453,72453
313,1,1,203934,50587,46327,94129,169404,218617,,50587,46327,94129,,169404,50587,50587
314,1,1,386136,386136,109942,207644,367594,462555,,,109942,,,,186841,186841
315,1,1,163398,163398,14660,73625,108974,202156,163398,163398,14660,73625,,108974,8226,8226
316,1,1,161469,69502,56443,108252,107042,161788,161469,69502,56443,108252,161788,107042,69502,69502
317,1,3,281436,281837,167287,213167,222691,293030,,,167287,,,,239947,
318,1,1,125139,101728,36345,53138,59644,143683,125139,101728,36345,53138,143683,59644,101728,101728
319,1,3,228584,169198,1565,37122,242611,378528,,169198,1565,37122,,,145754,145754
320,1,3,190150,66589,9819,32810,185769,284787,190150,66589,9819,32810,,185769,66589,66589
321,1,2,52433,52433,599,25919,2117,20789,52433,52433,599,25919,20789,2117,27882,27882
322,1,4,211709,211709,46624,108204,153805,237078,,,46624,108204,,153805,47194,47194
323,1,1,73571,17565,832,37222,28859,83663,73571,17565,832,37222,83663,28859,17565,17565
324,1,1,209177,209177,40807,102468,153302,237774,,,40807,102468,,153302,41017,41017
325,1,1,202186,179686,96496,138063,132701,228922,,179686,96496,138063,,132701,179686,179686
326,1,1,273986,206571,167401,204297,216328,280390,,,167401,,,,206571,
327,1,1,120383,79702,348,929,84153,200842,120383,79702,348,929,,84153,79702,79702
328,1,1,54268,17322,7177,17313,5121,18205,54268,17322,7177,17313,18205,5121,17322,17322
329,1,1,256097,168245,152460,197003,203089,257767,,168245,152460,197003,,,168245,168245
330,1,1,170165,40466,16944,39483,161453,242698,170165,40466,16944,39483,,161453,40466,40466
331,1,1,162132,161726,17550,75661,101751,191966,162132,161726,17550,75661,191966,101751,4154,4154
332,1,1,154287,18239,21417,60874,133048,188648,154287,18239,21417,60874,188648,133048,18239,18239
333,1,1,166184,85573,373,8532,153663,284406,166184,85573,373,8532,,153663,85573,85573
334,1,7,270810,177487,6675,67413,266465,410082,,177487,6675,67413,,,177487,177487
335,1,1,74541,74541,325,2621,26034,118908,74541,74541,325,2621,118908,26034,62807,62807
336,1,1,136762,136575,36389,89178,74141,104932,136762,136575,36389,89178,104932,74141,61207,61207
337,1,7,323806,323806,58235,146654,304855,413368,,,58235,146654,,,117483,117483
338,1,1,128181,127647,18537,69076,53546,111305,128181,127647,18537,69076,111305,53546,38882,38882
339,1,8,21947,4434,2598,12189,2598,12798,21947,4434,2598,12189,12798,2598,4434,4434
340,1,1,77045,68165,12336,16603,25725,104288,77045,68165,12336,16603,104288,25725,68165,68165
341,1,9,249779,249779,17215,79642,244678,377423,,,17215,79642,,,70991,70991
342,1,1,88928,5250,5488,38467,40002,71102,88928,5250,5488,38467,71102,40002,5250,5250
343,1,9,279264,279485,164934,210814,220338,290678,,,164934,,,,237594,
344,1,1,98264,98235,8338,54793,36721,62926,98264,98235,8338,54793,62926,36721,33508,33508
345,1,1,120178,120159,22732,73492,58645,89608,120178,120159,22732,73492,89608,58645,54672,54672
346,1,1,224909,183767,117014,152651,149466,242705,,183767,117014,152651,,149466,183767,183767
347,1,1,216389,216389,13884,81030,206102,339084,,,13884,81030,,,32882,32882
348,1,8,136129,135595,23823,76460,62784,123637,136129,135595,23823,76460,123637,62784,38091,38091
349,1,1,211193,211193,30177,92102,156916,251877,,,30177,92102,,156916,40663,40663
350,1,1,83045,77592,0,1078,26934,126523,83045,77592,0,1078,126523,26934,77592,77592
351,1,1,199461,172453,1537,29840,228219,366286,199461,172453,1537,29840,,,83603,83603
352,1,1,82341,82183,7141,47671,22806,53103,82341,82183,7141,47671,53103,22806,10147,10147
353,1,1,158727,104479,75,879,146302,277924,158727,104479,75,879,,146302,104479,104479
354,1,16,255451,255169,132536,182820,180686,227987,,,132536,182820,,180686,167793,167793
355,1,5,320309,317471,20482,129354,329756,469222,,,20482,129354,,,132026,132026
356,1,9,244630,244711,120652,179626,164590,213067,,,120652,179626,,164590,148630,148630
357,1,1,8244,8244,3695,8614,4182,5020,8244,8244,3695,8614,5020,4182,1559,1559
358,1,1,289591,289812,175261,221141,230665,301005,,,175261,,,,247960,
359,1,6,161967,141200,59475,96590,92128,186858,161967,141200,59475,96590,186858,92128,141200,141200
360,1,1,302605,215776,202114,237982,251537,304666,,,,,,,215776,
361,1,7,280572,280444,162917,210192,212443,258907,,,162917,,,,200495,
362,1,1,88773,88773,7780,48310,23445,57992,88773,88773,7780,48310,57992,23445,32212,32212
363,1,1,291568,187742,12413,80964,285429,426219,,187742,12413,80964,,,187742,187742
364,1,1,227205,88553,28696,60838,223021,310063,,88553,28696,60838,,,88553,88553
365,1,8,54958,54943,20554,42466,22071,31038,54958,54943,20554,42466,31038,22071,40135,40135
366,1,1,318808,318829,69715,154503,296975,391935,,,69715,154503,,,116042,116042
367,1,1,219588,106685,97859,152936,162926,218205,,106685,97859,152936,,162926,106685,106685
368,1,1,333956,333255,38022,149430,332958,464126,,,38022,149430,,,132425,132425
369,1,1,150051,149517,37114,91787,73514,123123,150051,149517,37114,91787,123123,73514,55850,55850
370,1,3,60555,60431,1853,28543,18867,53023,60555,60431,1853,28543,53023,18867,29331,29331
371,1,1,244936,180424,2156,53451,254966,393905,,180424,2156,53451,,,160565,160565
372,1,1,201871,113944,97883,144444,148558,203418,,113944,97883,144444,,148558,113944,113944
373,1,5,215748,215748,50929,112243,153721,235182,,,50929,112243,,153721,51222,51222
374,1,3,111649,13345,13007,50537,49098,84650,111649,13345,13007,50537,84650,49098,13345,13345
375,1,1,200077,199795,80957,134834,125807,171703,,199795,80957,134834,171703,125807,113858,113858
376,1,3,166838,37402,43714,92200,108385,159329,166838,37402,43714,92200,159329,108385,37402,37402
377,1,1,160729,108643,689,1959,148046,282785,160729,108643,689,1959,,148046,103824,103824
378,1,3,2826,2826,2826,5447,2826,2826,2826,2826,2826,5447,2826,2826,2826,2826
379,1,1,187488,186954,59010,120698,112149,167607,187488,186954,59010,120698,167607,112149,99712,99712
