OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
73,1,1,208712,208208,70268,134436,135140,195689,,,70268,134436,195689,135140
74,1,1,98456,98456,13498,56978,48454,89170,98456,98456,13498,56978,89170,48454
75,1,4,40673,10633,5888,14753,2632,15015,40673,10633,5888,14753,15015,2632
76,1,1,101339,51588,8220,49244,53181,111569,101339,51588,8220,49244,111569,53181
77,1,5,16188,16188,10939,18323,13723,13802,16188,16188,10939,18323,13802,13723
78,1,1,83508,10196,4095,23185,40657,82604,83508,10196,4095,23185,82604,40657
79,1,7,42188,5065,6058,14892,3415,15785,42188,5065,6058,14892,15785,3415
80,1,8,64241,11795,5179,29760,14456,63328,64241,11795,5179,29760,63328,14456
81,1,1,19190,1573,1121,10712,1121,11493,19190,1573,1121,10712,11493,1121
82,1,1,176552,176431,57883,114726,101184,144787,176552,176431,57883,114726,144787,101184
83,1,1,245683,245401,122182,172569,169137,218072,,,122182,172569,,169137
84,1,2,21745,21745,2726,12140,2204,6089,21745,21745,2726,12140,6089,2204
85,1,1,412808,411822,122683,221142,398267,504478,,,122683,,,
86,1,7,185627,52365,60553,107163,127247,191239,185627,52365,60553,107163,191239,127247
87,1,1,155534,155000,35150,93682,82189,141118,155534,155000,35150,93682,141118,82189
88,1,1,126177,15596,24681,62653,64786,103887,126177,15596,24681,62653,103887,64786
89,1,1,250966,165733,2842,53050,251923,394492,,165733,2842,53050,,
90,1,1,14883,14883,566,4896,293,3132,14883,14883,566,4896,3132,293
91,1,1,157184,151780,581,5958,146966,281732,157184,151780,581,5958,,146966
92,1,1,97335,97326,7358,47888,26395,81215,97335,97326,7358,47888,81215,26395
93,1,1,275935,185539,13274,75250,274525,417543,,185539,13274,75250,,
94,1,1,71200,14620,1585,24223,10185,28945,71200,14620,1585,24223,28945,10185
95,1,1,7938,7938,1044,5374,771,2155,7938,7938,1044,5374,2155,771
96,1,1,190533,190561,63283,123395,109285,163957,190533,190561,63283,123395,163957,109285
97,1,1,270696,270572,150726,197628,216451,271781,,,150726,197628,,
98,1,1,19269,6382,1916,6594,1772,6910,19269,6382,1916,6594,6910,1772
99,1,1,77624,77624,5946,36243,19965,112154,77624,77624,5946,36243,112154,19965
100,1,1,27645,27319,1395,2131,75,14790,27645,27319,1395,2131,14790,75
101,1,1,122455,101686,33152,52205,58067,143091,122455,101686,33152,52205,143091,58067
102,1,1,111673,111140,14716,59518,36681,84513,111673,111140,14716,59518,84513,36681
103,1,6,14356,14356,2724,9785,3877,4460,14356,14356,2724,9785,4460,3877
104,1,6,222425,149266,6610,29378,231444,369408,,149266,6610,29378,,
105,1,1,157906,46529,2793,21375,153456,254164,157906,46529,2793,21375,,153456
106,1,1,205218,158289,2368,26489,225096,363280,,158289,2368,26489,,
107,1,1,143030,97323,127,1162,117195,247387,143030,97323,127,1162,,117195
108,1,1,409788,409087,119948,218408,392618,496947,,,119948,,,
109,1,6,379620,379620,104494,202195,361395,456356,,,104494,,,
110,1,1,153635,153507,45833,92193,90384,131727,153635,153507,45833,92193,131727,90384
111,1,1,321979,225531,213544,261302,268638,323316,,,,,,
112,1,1,83593,12662,3656,20536,48290,102329,83593,12662,3656,20536,102329,48290
113,1,1,188812,28180,42261,89967,139041,191512,188812,28180,42261,89967,191512,139041
114,1,1,182987,182987,15334,73362,133131,227671,182987,182987,15334,73362,,133131
115,1,1,169068,169068,13239,69262,122431,216970,169068,169068,13239,69262,,122431
116,1,7,186730,186131,38560,98084,113508,188486,186730,186131,38560,98084,188486,113508
117,1,1,252165,117957,22038,64814,247604,354937,,117957,22038,64814,,
118,1,8,358409,358515,228304,279088,279922,332506,,,,,,
119,1,5,528591,528463,415990,459270,465029,507748,,,,,,
120,1,5,195819,46933,55451,105498,141187,199481,195819,46933,55451,105498,199481,141187
121,1,1,113485,63513,1544,4806,74957,182631,113485,63513,1544,4806,182631,74957
122,1,1,102681,97841,1133,5414,46659,171049,102681,97841,1133,5414,171049,46659
123,1,1,103058,23997,118,12894,64821,148367,103058,23997,118,12894,148367,64821
124,1,1,79067,71751,298,255,26140,119462,79067,71751,298,255,119462,26140
125,1,7,241531,118452,109626,164703,184870,239728,,118452,109626,164703,,184870
126,1,1,190962,163748,440,21406,214300,350353,190962,163748,440,21406,,
127,1,1,62643,62643,149,4650,13588,92861,62643,62643,149,4650,92861,13588
128,1,1,111451,24332,568,14982,79001,165035,111451,24332,568,14982,165035,79001
129,1,2,96401,96401,9358,49888,25464,65621,96401,96401,9358,49888,65621,25464
130,1,1,145645,14411,21342,60725,126129,177954,145645,14411,21342,60725,177954,126129
131,1,8,213240,185843,104181,146644,139634,237502,,185843,104181,146644,,139634
132,1,1,205472,177201,658,39898,241254,378488,,177201,658,39898,,
133,1,1,97723,19566,10938,54407,42560,93546,97723,19566,10938,54407,93546,42560
134,1,1,187133,145530,80394,114406,115180,203959,187133,145530,80394,114406,,115180
135,1,1,104596,14785,9959,47930,43459,72243,104596,14785,9959,47930,72243,43459
136,1,1,118522,118522,17847,62830,49369,115871,118522,118522,17847,62830,115871,49369
137,1,4,371177,370476,77600,181679,366707,477838,,,77600,181679,,
138,1,1,242719,156580,1705,43704,242770,385134,,156580,1705,43704,,
139,1,1,142548,142555,28360,81116,62709,107220,142548,142555,28360,81116,107220,62709
140,1,7,308136,308380,203532,236952,245307,291640,,,,,,
141,1,1,58985,58259,1155,2718,13136,72493,58985,58259,1155,2718,72493,13136
142,1,1,121556,22336,30523,74371,64021,115793,121556,22336,30523,74371,115793,64021
143,1,1,200322,112479,2947,16288,197861,337609,,112479,2947,16288,,197861
144,1,1,168969,168969,4016,15444,160112,303045,168969,168969,4016,15444,,160112
145,1,7,57683,57683,4033,22496,1120,76573,57683,57683,4033,22496,76573,1120
146,1,4,283278,283278,167904,207999,225544,280850,,,167904,,,
147,1,4,291151,271840,28192,105813,312571,458085,,,28192,105813,,
148,1,1,217866,217866,45663,107461,161971,246746,,,45663,107461,,161971
149,1,1,50932,11991,9237,19332,3977,55539,50932,11991,9237,19332,55539,3977
150,1,1,37860,37860,1431,20020,2703,16957,37860,37860,1431,20020,16957,2703
151,1,1,140866,140679,38183,91812,76776,109035,140866,140679,38183,91812,109035,76776
152,1,1,67976,67976,53,5259,14856,100634,67976,67976,53,5259,100634,14856
153,1,2,7847,7521,3800,3800,3800,5380,7847,7521,3800,3800,5380,3800
154,1,1,108180,93945,0,3215,54968,178353,108180,93945,0,3215,178353,54968
155,1,1,215524,123580,110158,160030,162504,217330,,123580,110158,160030,,162504
156,1,3,192827,192293,47326,106872,119670,192002,192827,192293,47326,106872,192002,119670
157,1,7,179180,179207,57100,113775,97931,151125,179180,179207,57100,113775,151125,97931
158,1,5,135494,31638,34749,84950,77953,129903,135494,31638,34749,84950,129903,77953
159,1,1,225517,122928,113006,168083,168554,224263,,122928,113006,168083,,168554
160,1,1,0,0,0,2621,0,0,0,0,0,2621,0,0
161,1,4,75912,1431,8939,28459,30354,61899,75912,1431,8939,28459,61899,30354
162,1,1,178239,177944,65889,118924,111130,151104,178239,177944,65889,118924,151104,111130
163,1,1,74939,74420,0,705,20075,110459,74939,74420,0,705,110459,20075
164,1,9,138056,16019,28375,68919,77556,122668,138056,16019,28375,68919,122668,77556
165,1,1,327979,329051,205824,259993,252067,299562,,,,,,
166,1,1,423618,423618,141448,239908,404470,499431,,,141448,,,
167,1,1,193924,91484,4233,15192,188567,314936,193924,91484,4233,15192,,188567
168,1,1,26161,12930,1935,6899,255,6169,26161,12930,1935,6899,6169,255
169,1,1,148270,148235,35647,88980,72725,112577,148270,148235,35647,88980,112577,72725
170,1,5,544097,542915,417100,466181,468433,521378,,,,,,
171,1,8,13498,13420,8981,9699,8981,11279,13498,13420,8981,9699,11279,8981
172,1,1,157113,88569,1487,5844,139806,269196,157113,88569,1487,5844,,139806
173,1,8,233422,101132,101043,155717,174756,227374,,101132,101043,155717,,174756
174,1,2,25903,12672,1677,6640,895,6314,25903,12672,1677,6640,6314,895
175,1,1,219583,161295,100828,139573,152125,227479,,161295,100828,139573,,152125
176,1,1,260491,260175,80841,147880,202970,284689,,,80841,147880,,
177,1,1,73280,73280,1065,22745,16166,107768,73280,73280,1065,22745,107768,16166
