OBJECTID,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
290,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.171682,-72.606463,8185,,,,,,2016-07-12T20:58:59Z,12,7,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3844597,,,2016-08-09T18:04:30Z,CC_BY_NC_4_0,Don Clark,Don Clark,,,2019-09-21T02:13:25.027Z,,GEODETIC_DATUM_ASSUMED_WGS84,9,167502,166969,42060,102101,94346,158282,167502,166969,42060,102101,158282,94346
291,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.638387,-72.5468,,,,,,,2016-08-08T12:07:51Z,8,8,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3834756,,,2016-08-08T17:25:38Z,CC_BY_NC_4_0,Kyle Jones,Kyle Jones,,,2019-09-21T02:13:25.418Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,204989,204989,41590,102416,143949,227222,,,41590,102416,,143949
292,1780,Ursus americanus,,US,,New York,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.813786,-74.657235,10,,,,,,2016-08-06T08:42:47Z,6,8,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3811950,,,2016-08-06T13:06:15Z,CC_BY_NC_4_0,xcski23,xcski23,,,2019-09-21T02:13:25.619Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,9,94510,59254,3915,6777,49191,145329,94510,59254,3915,6777,145329,49191
293,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.146989,-72.973205,,,,,,,2016-08-03T18:37:32Z,3,8,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3805569,,,2016-08-05T02:00:20Z,CC_BY_NC_4_0,Erin,Erin,,,2019-09-21T02:13:25.400Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,212988,212988,17664,77877,192885,288350,,,17664,77877,,192885
294,1780,Ursus americanus,,US,,Pennsylvania,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.517888,-75.148553,314,,,,,,2014-05-30T10:46:47Z,30,5,2014,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,706832,,,2014-05-30T14:57:59Z,CC_BY_NC_4_0,caseyj222,caseyj222,,,2019-09-21T02:13:25.025Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,1,177120,126964,65144,100646,109143,188307,177120,126964,65144,100646,188307,109143
295,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.629454,-72.542912,23,,,,,,2016-07-21T11:53:02Z,21,7,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3715301,,,2016-07-21T18:16:18Z,CC_BY_NC_4_0,Kyle Jones,Kyle Jones,,,2019-09-21T02:13:25.026Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,1,205272,205272,42494,103320,143822,227094,,,42494,103320,,143822
296,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.632849,-72.540092,2000,,,,,,2016-07-11T00:00:00Z,11,7,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3708939,,,2016-07-20T13:41:04Z,CC_BY_NC_4_0,Kyle Jones,Kyle Jones,,,2019-09-21T02:13:25.471Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,206048,206048,42649,103476,144757,228029,,,42649,103476,,144757
297,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.007245,-73.079647,8,,,,,,2016-07-05T14:21:21Z,5,7,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3629970,,,2016-07-06T02:29:25Z,CC_BY_NC_4_0,Charlie Hohn,Charlie Hohn,,,2019-09-21T02:13:25.022Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED,1,198708,198708,14025,70047,157626,251219,198708,198708,14025,70047,,157626
298,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.965217,-72.633963,211,,,,,,2016-06-20T00:00:00Z,20,6,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3491754,,,2016-06-20T20:25:13Z,CC_BY_NC_4_0,catabbott,catabbott,,,2019-09-21T02:13:25.492Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,6,166479,165946,45259,104513,92036,147268,166479,165946,45259,104513,147268,92036
299,1780,Ursus americanus,,US,,Vermont,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.355832,-73.021467,2640,,,,,,2016-06-16T00:00:00Z,16,6,2016,2433407,2433407,HUMAN_OBSERVATION,iNaturalist,Observations,3471871,,,2016-06-17T15:41:03Z,CC_BY_NC_4_0,Sarah Carline,Sarah Carline,,,2019-09-21T02:13:25.749Z,STILLIMAGE,GEODETIC_DATUM_ASSUMED_WGS84,8,234619,234619,17927,97616,215668,334238,,,17927,97616,,
