OBJECTID,CID,Nat_resistance_2011,Nat_2c_default_corridors,Nat_3c_default_corridors,GP_Nat_node_corridors,GP_Nat_bar_corridors,node_close_corridors,GP_bar_close_corridors,Nat_2c_default_corridors_truncated_at_200k,Nat_3c_default_corridors_truncated_at_200k,GP_Nat_node_corridors_truncated_at_200k,GP_Nat_bar_corridors_truncated_at_200k,GP_bar_close_corridors_truncated_at_200k,node_close_corridors_truncated_at_200k
982,1,1,327682,327682,43943,141570,309727,420858,,,43943,141570,,
983,1,1,267797,267797,21846,103472,249774,360800,,,21846,103472,,
984,1,1,309014,309014,35989,127462,291059,402190,,,35989,127462,,
985,1,1,349178,348477,54131,159680,346148,462389,,,54131,159680,,
986,1,3,334687,333986,42049,145414,331657,449065,,,42049,145414,,
987,1,1,159426,141407,1870,3472,155436,288678,159426,141407,1870,3472,,155436
988,1,1,397733,397033,107894,206354,380707,485193,,,107894,,,
989,1,3,173843,173843,8369,31282,169443,309091,173843,173843,8369,31282,,169443
990,1,8,348821,344564,45016,151616,357311,491176,,,45016,151616,,
991,1,3,322812,322111,29864,133836,319782,443481,,,29864,133836,,
992,1,5,230697,230697,16457,49762,239784,382319,,,16457,49762,,
993,1,3,252125,238522,12278,57832,269979,414874,,,12278,57832,,
994,1,8,248202,248202,14365,76792,248585,385223,,,14365,76792,,
995,1,5,308076,298155,28412,117383,322720,465255,,,28412,117383,,
996,1,7,414219,414219,126811,225271,396526,497821,,,126811,,,
997,1,7,384876,384876,109621,207323,365676,460637,,,109621,,,
998,1,1,160097,143356,1593,4367,155436,290020,160097,143356,1593,4367,,155436
999,1,8,312129,312129,20444,129203,316797,452525,,,20444,129203,,
1000,1,7,293519,293029,19329,108889,292041,422995,,,19329,108889,,
1001,1,1,205656,177460,230,39504,240503,378855,,177460,230,39504,,
1002,1,4,266716,266716,17767,90404,261001,393746,,,17767,90404,,
1003,1,1,437301,436600,138768,244598,420875,525204,,,138768,,,
1004,1,1,441424,440648,151230,249969,424924,529252,,,151230,,,
1005,1,5,247737,245098,4418,56960,256823,399358,,,4418,56960,,
1006,1,1,333156,333231,62919,154451,314859,417378,,,62919,154451,,
1007,1,1,150138,150138,3469,11996,126262,266283,150138,150138,3469,11996,,126262
1008,1,3,219393,219393,8868,38401,228479,371014,,,8868,38401,,
1009,1,1,168053,144424,1807,3062,173107,305932,168053,144424,1807,3062,,173107
1010,1,1,260002,260002,17058,97911,242457,356122,,,17058,97911,,
1011,1,1,156438,141779,1835,4832,148192,282701,156438,141779,1835,4832,,148192
1012,1,1,248437,248437,16740,97594,229486,338295,,,16740,97594,,
1013,1,1,166549,166549,6816,12979,155778,299861,166549,166549,6816,12979,,155778
1014,1,1,389681,388980,99841,198301,373453,478307,,,99841,198301,,
1015,1,1,192537,183388,5371,19907,201938,346132,192537,183388,5371,19907,,
1016,1,5,223344,223344,34044,58302,228904,370711,,,34044,58302,,
